,Calcium,Calories,Cholesterol,Dietary Fiber,Folate,Iron,Magnesium,Niacin,Popularity,Potassium,Protein,Rating,Reference,Region,Saturated Fat,Sodium,Sugars,Thiamin,Title,Total Carbohydrates,Total Fat,Vitamin A,Vitamin B6,Vitamin C,VeggieWeight,NutriScore,NutriLetter
Spanish Style Albondigas in a Sunny Mediterranean Sauce,159.0,615,87.0,3.8,62.0,6.0,63.0,13.0,9.0,874.0,26.4,4.44444465637207,229484/spanish-style-albondigas-in-a-sunny-mediterranean-sauce/,spanish,11.0,760.0,8.0,0.0,Spanish Style Albondigas in a Sunny Mediterranean Sauce,26.4,40.1,1327IU,1.0,30.0,310.0,-4,A
Broiled Spanish Mackerel,27.0,259,50.0,1.3,3.0,1.0,68.0,8.0,41.0,310.0,16.2,4.66666650772095,217274/broiled-spanish-mackerel/,spanish,4.0,56.0,0.0,0.0,Broiled Spanish Mackerel,3.0,20.9,228IU,0.0,21.0,200.0,-3,A
Papas Alins or Patatas Alinadas (Andalusian Potatoes),33.0,262,0.0,3.8,33.0,2.0,37.0,3.0,2.0,697.0,3.3,4.0,246337/papas-alins-or-patatas-alinadas-andalusian-potatoes/,spanish,1.0,396.0,2.0,0.0,Papas Alins or Patatas Alinadas (Andalusian Potatoes),36.6,9.6,458IU,0.0,34.0,132.0,0,B
Spanish Cod,32.0,170,46.0,1.6,19.0,1.0,41.0,7.0,212.0,659.0,21.3,4.49079751968384,76693/spanish-cod/,spanish,2.0,597.0,2.0,0.0,Spanish Cod,6.5,6.6,1038IU,0.0,17.0,60.0,-1,A
Spanish Flan ,273.0,349,100.0,0.0,18.0,1.0,27.0,2.0,1000.0,353.0,9.5,4.39197540283203,20979/spanish-flan/,spanish,5.0,139.0,57.0,0.0,Spanish Flan ,56.7,9.7,332IU,0.0,2.0,0.0,4,C
Easy Paella,73.0,736,202.0,2.9,141.0,6.0,84.0,28.0,950.0,778.0,55.7,4.61142873764038,84137/easy-paella/,spanish,10.0,1204.0,2.0,1.0,Easy Paella,45.7,35.1,1544IU,1.0,31.0,107.0,0,B
Empanadas,17.0,226,28.0,0.7,29.0,1.0,4.0,1.0,566.0,43.0,1.8,4.5701150894165,10685/empanadas/,spanish,6.0,84.0,18.0,0.0,Empanadas,32.1,10.3,335IU,0.0,2.0,0.0,3,C
Espinacas con Garbanzos (Spinach with Garbanzo Beans),133.0,169,0.0,6.4,166.0,3.0,83.0,2.0,449.0,450.0,7.3,4.43939399719238,161535/espinacas-con-garbanzos-spinach-with-garbanzo-beans/,spanish,1.0,600.0,2.0,0.0,Espinacas con Garbanzos (Spinach with Garbanzo Beans),26.0,4.9,8350IU,1.0,10.0,166.0,-1,A
Gazpacho,30.0,39,0.0,1.6,36.0,1.0,22.0,1.0,341.0,411.0,1.6,4.34387350082397,19770/gazpacho/,spanish,0.0,305.0,6.0,0.0,Gazpacho,9.2,0.2,973IU,0.0,38.0,125.0,0,B
Avocado and Tuna Tapas,33.0,294,27.0,7.4,99.0,2.0,56.0,18.0,556.0,755.0,23.9,4.66964292526245,139620/avocado-and-tuna-tapas/,spanish,3.0,154.0,2.0,0.0,Avocado and Tuna Tapas,11.0,18.2,782IU,1.0,31.0,205.0,-6,A
Spanish Potato Omelet,35.0,252,124.0,1.6,31.0,1.0,18.0,2.0,998.0,293.0,5.4,4.46842098236084,20198/spanish-potato-omelet/,spanish,4.0,54.0,2.0,0.0,Spanish Potato Omelet,10.7,21.5,555IU,0.0,10.0,127.0,0,B
Paella I,64.0,524,106.0,3.3,38.0,7.0,45.0,12.0,240.0,575.0,28.8,4.4712643623352095,12728/paella-i/,spanish,4.0,1162.0,5.0,0.0,Paella I,56.6,18.2,1562IU,1.0,56.0,88.0,1,B
Ethiopian Cabbage Dish,106.0,428,0.0,10.1,104.0,7.0,81.0,5.0,1000.0,1360.0,6.9,4.567307472229,152937/ethiopian-cabbage-dish/,east-african,3.0,428.0,10.0,0.0,Ethiopian Cabbage Dish,54.1,22.2,9747IU,1.0,92.0,300.0,-5,A
Green Banana Fries,34.0,214,0.0,0.0,0.0,0.0,0.0,1.0,66.0,,0.9,4.34375,82495/green-banana-fries/,east-african,2.0,26.0,0.0,0.0,Green Banana Fries,21.1,15.3,217IU,0.0,11.0,105.0,1,B
Gomen Wat,130.0,88,0.0,4.0,134.0,1.0,16.0,1.0,73.0,261.0,2.7,4.37777757644653,185093/gomen-wat/,east-african,1.0,408.0,2.0,0.0,Gomen Wat,10.1,5.0,5286IU,0.0,61.0,132.0,-1,A
Ethiopian Chicken,25.0,157,34.0,1.1,13.0,1.0,30.0,6.0,33.0,206.0,14.2,3.95121955871582,55826/ethiopian-chicken/,east-african,2.0,2440.0,2.0,0.0,Ethiopian Chicken,6.2,8.3,68IU,0.0,2.0,25.0,5,C
Sambusa,17.0,163,24.0,0.5,20.0,1.0,11.0,4.0,43.0,110.0,8.1,4.24324321746826,53603/sambusa/,east-african,2.0,213.0,0.0,0.0,Sambusa,10.8,9.5,67IU,0.0,1.0,37.0,0,B
Ethiopian Vegetable Bowl,91.0,286,0.0,8.6,71.0,3.0,76.0,5.0,26.0,1353.0,6.8,4.32142877578735,188472/ethiopian-vegetable-bowl/,east-african,1.0,608.0,10.0,0.0,Ethiopian Vegetable Bowl,51.7,7.4,6377IU,1.0,65.0,271.0,-5,A
Ethiopian Cabbage and Potato Dish (Atkilt),119.0,336,0.0,9.2,102.0,2.0,40.0,2.0,48.0,653.0,5.8,4.60714292526245,236247/ethiopian-cabbage-and-potato-dish-atkilt/,east-african,3.0,673.0,12.0,0.0,Ethiopian Cabbage and Potato Dish (Atkilt),40.5,18.7,12212IU,0.0,75.0,370.0,-3,A
Injera,7.0,166,0.0,3.8,56.0,1.0,51.0,3.0,32.0,102.0,5.1,3.22222232818604,7070/injera/,east-african,0.0,28.0,1.0,0.0,Injera,32.0,1.8,0IU,0.0,0.0,0.0,-1,A
Mombasa Pumpkin Dessert,32.0,210,0.0,0.9,24.0,1.0,24.0,1.0,29.0,505.0,1.8,4.03999996185303,14007/mombasa-pumpkin-dessert/,east-african,4.0,4.0,35.0,0.0,Mombasa Pumpkin Dessert,43.2,4.9,9778IU,0.0,13.0,375.0,-2,A
Ugandan Kabobs,67.0,382,84.0,1.0,27.0,2.0,24.0,6.0,27.0,239.0,13.6,4.45454549789429,14627/ugandan-kabobs/,east-african,9.0,329.0,2.0,0.0,Ugandan Kabobs,17.4,28.1,208IU,0.0,3.0,57.0,2,B
Ethiopian Spiced Cottage Cheese,304.0,232,32.0,5.5,459.0,7.0,191.0,6.0,9.0,1434.0,21.1,4.19999980926514,213254/ethiopian-spiced-cottage-cheese/,east-african,7.0,676.0,2.0,0.0,Ethiopian Spiced Cottage Cheese,14.4,11.8,21779IU,1.0,93.0,261.0,-5,A
Eba,74.0,290,0.0,1.8,0.0,1.0,2.0,0.0,9.0,743.0,0.9,4.44444465637207,90191/eba/,east-african,0.0,16.0,0.0,0.0,Eba,70.6,0.4,0IU,0.0,0.0,80.0,0,B
African Chicken in Spicy Red Sauce,58.0,257,85.0,3.5,19.0,3.0,52.0,16.0,7.0,659.0,32.1,4.0,236742/african-chicken-in-spicy-red-sauce/,east-african,2.0,887.0,6.0,0.0,African Chicken in Spicy Red Sauce,14.9,6.6,1335IU,1.0,22.0,128.0,-3,A
Somali Spaghetti Sauce,88.0,546,50.0,6.9,82.0,8.0,37.0,11.0,12.0,930.0,25.7,4.75,246489/somali-spaghetti-sauce/,east-african,5.0,818.0,8.0,0.0,Somali Spaghetti Sauce,63.9,20.6,5392IU,0.0,28.0,226.0,-2,A
Key Sir Alicha (Ethiopian Beets and Potatoes),81.0,486,0.0,12.6,205.0,4.0,120.0,7.0,8.0,2047.0,10.2,4.25,246338/key-sir-alicha-ethiopian-beets-and-potatoes/,east-african,1.0,414.0,14.0,0.0,Key Sir Alicha (Ethiopian Beets and Potatoes),82.1,14.6,50IU,1.0,83.0,246.0,-6,A
Berbere Spice Blend,3.0,3,0.0,0.3,1.0,0.0,2.0,0.0,23.0,20.0,0.1,5.0,255863/berbere-spice-blend/,east-african,0.0,1.0,0.0,0.0,Berbere Spice Blend,0.6,0.1,348IU,0.0,1.0,0.0,0,B
Kik Wat (Ethiopian Red Lentil Stew),76.0,432,0.0,22.2,306.0,5.0,91.0,5.0,14.0,807.0,17.2,4.2857141494751,245948/kik-wat-ethiopian-red-lentil-stew/,east-african,1.0,503.0,4.0,0.0,Kik Wat (Ethiopian Red Lentil Stew),48.7,18.3,292IU,1.0,13.0,90.0,-6,A
Berbere (Ethiopian Spice),21.0,25,0.0,2.8,8.0,1.0,14.0,1.0,12.0,160.0,1.1,5.0,236741/berbere-ethiopian-spice/,east-african,0.0,345.0,1.0,0.0,Berbere (Ethiopian Spice),4.6,1.2,2773IU,0.0,5.0,0.0,0,B
Tomato Chutney,12.0,33,0.0,1.6,22.0,1.0,16.0,1.0,9.0,297.0,1.3,3.66666674613953,47440/tomato-chutney/,east-african,0.0,11.0,1.0,0.0,Tomato Chutney,7.4,0.4,826IU,0.0,57.0,185.0,-2,A
The Best Rolled Sugar Cookies,14.0,109,25.0,0.3,21.0,1.0,3.0,1.0,15000.0,17.0,1.5,4.42558288574219,10402/the-best-rolled-sugar-cookies/,canadian,3.0,93.0,7.0,0.0,The Best Rolled Sugar Cookies,14.7,5.0,158IU,0.0,0.0,0.0,1,B
Butternut Squash Soup II,178.0,305,21.0,9.5,111.0,3.0,136.0,6.0,3000.0,1650.0,6.9,4.619606018066411,77981/butternut-squash-soup-ii/,canadian,4.0,1151.0,10.0,0.0,Butternut Squash Soup II,59.7,6.8,35991IU,1.0,89.0,232.0,0,B
Old Fashioned Onion Rings,265.0,641,69.0,3.5,146.0,4.0,40.0,8.0,1000.0,328.0,14.3,4.785064697265629,82659/old-fashioned-onion-rings/,canadian,6.0,1272.0,8.0,1.0,Old Fashioned Onion Rings,68.3,34.6,256IU,0.0,4.0,37.0,5,C
Crispy Orange Beef,122.0,507,60.0,5.9,197.0,5.0,79.0,11.0,1000.0,983.0,27.4,4.47147130966187,57966/crispy-orange-beef/,canadian,5.0,651.0,17.0,0.0,Crispy Orange Beef,59.2,18.7,1280IU,1.0,189.0,10.0,0,B
Boneless Buffalo Wings,131.0,710,136.0,1.7,89.0,4.0,41.0,15.0,1000.0,389.0,28.0,4.80370759963989,151266/boneless-buffalo-wings/,canadian,10.0,2334.0,4.0,0.0,Boneless Buffalo Wings,43.7,46.9,751IU,0.0,15.0,0.0,6,C
Light Oat Bread,9.0,152,0.0,1.3,70.0,2.0,12.0,3.0,961.0,60.0,3.9,4.73380470275879,7025/light-oat-bread/,canadian,0.0,216.0,2.0,0.0,Light Oat Bread,28.6,2.3,78IU,0.0,0.0,0.0,0,B
Asian Salmon,63.0,388,51.0,0.7,116.0,3.0,47.0,14.0,898.0,481.0,27.9,4.55314016342163,54702/asian-salmon/,canadian,2.0,279.0,2.0,0.0,Asian Salmon,39.6,12.0,104IU,1.0,1.0,3.0,-2,A
Home Style Macaroni and Cheese,442.0,641,118.0,2.5,104.0,3.0,46.0,7.0,740.0,291.0,22.6,4.231292724609379,23983/home-style-macaroni-and-cheese/,canadian,25.0,828.0,6.0,0.0,Home Style Macaroni and Cheese,47.0,40.4,1494IU,0.0,2.0,1.0,7,C
Best Ever Meat Loaf,223.0,409,155.0,1.0,40.0,3.0,36.0,11.0,1000.0,435.0,28.4,4.71794891357422,229559/best-ever-meat-loaf/,canadian,10.0,1227.0,14.0,0.0,Best Ever Meat Loaf,22.3,22.7,1948IU,0.0,4.0,21.0,3,C
The Best Steak Marinade,28.0,156,0.0,0.2,4.0,1.0,9.0,1.0,1000.0,188.0,1.2,4.60597038269043,176770/the-best-steak-marinade/,canadian,2.0,1135.0,4.0,0.0,The Best Steak Marinade,7.8,13.5,14IU,0.0,3.0,1.0,3,C
"Soft, Moist and Gooey Cinnamon Buns",28.0,165,29.0,0.3,12.0,0.0,5.0,0.0,1000.0,60.0,1.1,4.76506042480469,7176/soft-moist-and-gooey-cinnamon-buns/,canadian,5.0,143.0,20.0,0.0,"Soft, Moist and Gooey Cinnamon Buns",21.2,8.9,267IU,0.0,0.0,2.0,3,C
Greek Lemon Chicken and Potato Bake,142.0,551,103.0,8.5,73.0,6.0,95.0,16.0,3000.0,1252.0,34.8,4.6415095329284695,242402/greek-lemon-chicken-and-potato-bake/,canadian,6.0,1859.0,3.0,0.0,Greek Lemon Chicken and Potato Bake,41.9,29.1,1036IU,1.0,49.0,309.0,-4,A
Best Hamburger Ever,171.0,445,174.0,1.2,25.0,4.0,38.0,14.0,903.0,517.0,39.0,4.18454265594482,72657/best-hamburger-ever/,canadian,12.0,967.0,2.0,0.0,Best Hamburger Ever,8.8,27.5,291IU,1.0,3.0,21.0,0,B
Three Cheese Manicotti II,837.0,611,96.0,8.2,122.0,4.0,99.0,17.0,499.0,985.0,34.0,4.61553382873535,86446/three-cheese-manicotti-ii/,canadian,12.0,1679.0,24.0,0.0,Three Cheese Manicotti II,64.6,24.1,1729IU,1.0,6.0,1.0,3,C
Oma's Rhubarb Cake,59.0,324,50.0,1.2,51.0,1.0,12.0,2.0,914.0,154.0,4.4,4.77687644958496,161436/omas-rhubarb-cake/,canadian,5.0,253.0,38.0,0.0,Oma's Rhubarb Cake,57.7,9.0,314IU,0.0,3.0,30.0,4,C
Lisa's Favorite Carne Asada Marinade,31.0,207,25.0,1.0,17.0,2.0,25.0,6.0,775.0,309.0,15.0,4.71689510345459,186691/lisas-favorite-carne-asada-marinade/,canadian,3.0,640.0,2.0,0.0,Lisa's Favorite Carne Asada Marinade,5.7,14.0,865IU,0.0,17.0,0.0,1,B
Zucchini Alfredo,115.0,379,72.0,2.8,149.0,3.0,56.0,7.0,398.0,395.0,12.4,4.26851844787598,52934/zucchini-alfredo/,canadian,7.0,517.0,3.0,1.0,Zucchini Alfredo,44.1,17.4,771IU,0.0,7.0,75.0,3,C
Garlic Aioli,5.0,151,8.0,0.1,2.0,0.0,1.0,0.0,593.0,15.0,0.3,4.62034749984741,213608/garlic-aioli/,canadian,2.0,335.0,0.0,0.0,Garlic Aioli,1.5,16.4,59IU,0.0,3.0,0.0,1,B
Christmas Brunch Casserole,301.0,494,217.0,2.9,45.0,3.0,51.0,12.0,480.0,874.0,28.1,4.39393949508667,15047/christmas-brunch-casserole/,canadian,13.0,1518.0,6.0,0.0,Christmas Brunch Casserole,31.9,28.6,663IU,0.0,15.0,193.0,3,C
Dash's Donair,268.0,489,98.0,0.5,18.0,3.0,42.0,10.0,473.0,554.0,26.0,4.63917541503906,71963/dashs-donair/,canadian,10.0,748.0,48.0,0.0,Dash's Donair,49.5,20.9,307IU,0.0,3.0,2.0,4,C
Sorrel Soup,84.0,112,27.0,0.5,7.0,1.0,17.0,0.0,35.0,77.0,1.5,4.25,24405/sorrel-soup/,australian-and-new-zealander,5.0,239.0,2.0,0.0,Sorrel Soup,9.5,7.8,872IU,0.0,3.0,0.0,2,B
Shearers' Mince and Potato Hot Pot,273.0,646,121.0,5.1,58.0,4.0,75.0,11.0,70.0,1163.0,25.0,4.1076922416687,45827/shearers-mince-and-potato-hot-pot/,australian-and-new-zealander,21.0,455.0,7.0,0.0,Shearers' Mince and Potato Hot Pot,42.9,42.0,712IU,1.0,37.0,156.0,3,C
Dad's New Zealand Mince Stew,56.0,474,96.0,2.2,30.0,4.0,47.0,11.0,50.0,658.0,21.9,4.30232572555542,49560/dads-new-zealand-mince-stew/,australian-and-new-zealander,13.0,935.0,17.0,0.0,Dad's New Zealand Mince Stew,25.4,32.4,653IU,0.0,16.0,40.0,4,C
Barbequed Thai Style Chicken,36.0,324,100.0,0.9,23.0,3.0,51.0,14.0,79.0,395.0,32.8,4.48717927932739,25482/barbequed-thai-style-chicken/,australian-and-new-zealander,6.0,641.0,4.0,0.0,Barbequed Thai Style Chicken,5.9,18.3,1035IU,0.0,36.0,80.0,-1,A
Korean Sushi,44.0,492,109.0,2.9,181.0,5.0,58.0,12.0,18.0,485.0,23.1,4.22222232818604,23954/korean-sushi/,australian-and-new-zealander,6.0,409.0,3.0,0.0,Korean Sushi,58.0,17.6,2951IU,0.0,9.0,135.0,0,B
Salt and Pepper Squid,54.0,1294,261.0,2.5,120.0,67.0,135.0,11.0,22.0,400.0,24.2,4.16666650772095,98223/salt-and-pepper-squid/,australian-and-new-zealander,14.0,5403.0,0.0,1.0,Salt and Pepper Squid,110.1,83.3,53IU,0.0,5.0,70.0,19,D
Date Loaf Cake,83.0,204,0.0,1.5,38.0,1.0,11.0,2.0,27.0,130.0,2.2,4.31034469604492,25568/date-loaf-cake/,australian-and-new-zealander,1.0,386.0,26.0,0.0,Date Loaf Cake,40.8,4.0,167IU,0.0,0.0,10.0,3,C
Aussie Lime Pie,163.0,444,150.0,1.7,41.0,1.0,30.0,2.0,56.0,271.0,7.5,4.51923084259033,17346/aussie-lime-pie/,australian-and-new-zealander,12.0,327.0,43.0,0.0,Aussie Lime Pie,60.5,20.3,613IU,0.0,7.0,6.0,6,C
Baked Ziti I,359.0,578,71.0,6.0,114.0,3.0,72.0,15.0,10000.0,721.0,27.9,4.70219373703003,11758/baked-ziti-i/,australian-and-new-zealander,13.0,914.0,14.0,0.0,Baked Ziti I,58.4,25.3,1135IU,0.0,4.0,12.0,3,C
Quinoa and Black Beans,41.0,153,0.0,7.8,61.0,2.0,35.0,2.0,7000.0,333.0,7.7,4.64435052871704,49552/quinoa-and-black-beans/,australian-and-new-zealander,0.0,517.0,2.0,0.0,Quinoa and Black Beans,27.8,1.7,362IU,0.0,5.0,133.0,-3,A
Annie's Fruit Salsa and Cinnamon Chips,113.0,312,0.0,5.7,97.0,3.0,30.0,4.0,3000.0,288.0,6.8,4.77642822265625,26692/annies-fruit-salsa-and-cinnamon-chips/,australian-and-new-zealander,1.0,462.0,16.0,0.0,Annie's Fruit Salsa and Cinnamon Chips,59.0,5.9,56IU,0.0,48.0,105.0,1,B
Braised Balsamic Chicken,35.0,196,61.0,1.2,8.0,2.0,24.0,11.0,6000.0,209.0,23.8,4.37686729431152,8665/braised-balsamic-chicken/,australian-and-new-zealander,1.0,511.0,5.0,0.0,Braised Balsamic Chicken,7.6,7.0,329IU,0.0,10.0,64.0,-1,A
Roasted Brussels Sprouts,42.0,104,0.0,3.0,68.0,1.0,23.0,1.0,6000.0,362.0,2.9,4.581275939941411,67952/roasted-brussels-sprouts/,australian-and-new-zealander,1.0,344.0,5.0,0.0,Roasted Brussels Sprouts,10.0,7.3,817IU,0.0,70.0,115.0,1,B
"Awesome Sausage, Apple and Cranberry Stuffing",47.0,235,80.0,2.1,99.0,3.0,24.0,3.0,3000.0,268.0,12.5,4.76723861694336,13651/awesome-sausage-apple-and-cranberry-stuffing/,australian-and-new-zealander,5.0,548.0,9.0,0.0,"Awesome Sausage, Apple and Cranberry Stuffing",21.7,11.6,7756IU,0.0,9.0,55.0,2,B
Shepherd's Pie VI,128.0,452,65.0,7.3,65.0,4.0,81.0,11.0,3000.0,1443.0,23.1,4.45833349227905,24202/shepherds-pie-vi/,australian-and-new-zealander,7.0,295.0,6.0,0.0,Shepherd's Pie VI,52.5,17.0,8674IU,1.0,53.0,215.0,-3,A
Roasted Garlic Cauliflower,86.0,118,4.0,3.6,81.0,1.0,24.0,2.0,4000.0,444.0,4.7,4.5872092247009295,54675/roasted-garlic-cauliflower/,australian-and-new-zealander,2.0,111.0,3.0,0.0,Roasted Garlic Cauliflower,8.6,8.2,91IU,0.0,67.0,66.0,0,B
Artichoke & Spinach Dip Restaurant Style,138.0,153,28.0,1.4,37.0,1.0,22.0,1.0,3000.0,108.0,6.6,4.663092136383058,33474/artichoke-spinach-dip-restaurant-style/,australian-and-new-zealander,6.0,485.0,1.0,0.0,Artichoke & Spinach Dip Restaurant Style,5.2,12.3,3027IU,0.0,4.0,84.0,2,B
Artichoke Chicken,181.0,548,96.0,3.8,7.0,1.0,29.0,17.0,3000.0,227.0,34.4,4.4180064201355,69538/artichoke-chicken/,australian-and-new-zealander,8.0,1225.0,1.0,0.0,Artichoke Chicken,13.4,39.9,578IU,1.0,14.0,106.0,0,B
Strawberry Spinach Salad I,191.0,491,0.0,6.2,182.0,4.0,124.0,2.0,3000.0,725.0,6.0,4.77267837524414,14276/strawberry-spinach-salad-i/,australian-and-new-zealander,5.0,63.0,34.0,0.0,Strawberry Spinach Salad I,42.9,35.2,6658IU,0.0,110.0,228.0,1,B
