,Calcium,Calories,Cholesterol,Dietary Fiber,Folate,Iron,Magnesium,Niacin,Popularity,Potassium,Protein,Rating,Reference,Region,Saturated Fat,Sodium,Sugars,Thiamin,Title,Total Carbohydrates,Total Fat,Vitamin A,Vitamin B6,Vitamin C,VeggieWeight,NutriScore,NutriLetter
The Amazing Swedish Meatball,116.0,560,134.0,1.4,43.0,3.0,37.0,11.0,265.0,453.0,24.6,3.45175433158875,53763/the-amazing-swedish-meatball/,scandinavian,16.0,2175.0,3.0,0.0,The Amazing Swedish Meatball,18.6,42.7,496IU,0.0,3.0,16.0,8,C
Easy Swedish Meatball Sauce ,77.0,393,140.0,0.8,23.0,2.0,24.0,4.0,565.0,299.0,15.0,4.23245620727539,218894/easy-swedish-meatball-sauce/,scandinavian,17.0,358.0,1.0,0.0,Easy Swedish Meatball Sauce ,12.2,31.5,1080IU,0.0,5.0,0.0,4,C
Easy Swedish Apple Pie,18.0,359,69.0,2.2,32.0,1.0,8.0,2.0,272.0,126.0,2.8,4.59471368789673,54628/easy-swedish-apple-pie/,scandinavian,11.0,133.0,35.0,0.0,Easy Swedish Apple Pie,49.3,18.0,572IU,0.0,4.0,85.0,5,C
Norwegian Pancakes - Pannekaken,88.0,145,98.0,0.6,53.0,1.0,14.0,3.0,250.0,147.0,7.3,4.58571434020996,83723/norwegian-pancakes-pannekaken/,scandinavian,2.0,157.0,4.0,0.0,Norwegian Pancakes - Pannekaken,19.6,3.9,237IU,0.0,0.0,0.0,0,B
Easy Swedish Pancakes,173.0,252,211.0,0.4,58.0,2.0,23.0,4.0,297.0,268.0,12.0,4.07537698745728,52581/easy-swedish-pancakes/,scandinavian,7.0,161.0,9.0,0.0,Easy Swedish Pancakes,21.1,13.3,652IU,0.0,0.0,0.0,2,B
Beef and Irish Stout Stew,41.0,518,101.0,2.4,33.0,3.0,42.0,11.0,248.0,723.0,29.4,4.33219194412231,70298/beef-and-irish-stout-stew/,uk-and-ireland,13.0,160.0,5.0,0.0,Beef and Irish Stout Stew,14.2,36.1,7281IU,1.0,9.0,88.0,1,B
Irish Bacon And Cabbage Soup,73.0,276,21.0,6.0,58.0,4.0,58.0,6.0,209.0,1096.0,12.3,4.52879571914673,100378/irish-bacon-and-cabbage-soup/,uk-and-ireland,3.0,825.0,5.0,0.0,Irish Bacon And Cabbage Soup,38.4,8.1,1239IU,1.0,55.0,211.0,0,B
Ferg's Ulster Fry-up,89.0,643,227.0,1.9,54.0,5.0,33.0,7.0,20.0,401.0,21.0,4.6999998092651385,100526/fergs-ulster-fry-up/,uk-and-ireland,11.0,957.0,3.0,0.0,Ferg's Ulster Fry-up,32.4,47.7,695IU,0.0,6.0,190.0,2,B
Mushy Peas II,68.0,216,15.0,6.2,97.0,5.0,43.0,3.0,10.0,328.0,7.0,3.46153855323792,52024/mushy-peas-ii/,uk-and-ireland,5.0,397.0,7.0,0.0,Mushy Peas II,19.7,13.0,3076IU,0.0,31.0,140.0,0,B
Beef Wellington,30.0,744,131.0,1.2,65.0,5.0,32.0,11.0,508.0,385.0,26.2,4.5252809524536115,16899/beef-wellington/,uk-and-ireland,21.0,434.0,1.0,0.0,Beef Wellington,29.6,57.2,533IU,0.0,1.0,16.0,4,C
